name,category,subcategory,address,city,country,latitude,longitude,accepts_dogs,accepts_cats,dogs_on_leash_only,outdoor_seating,water_bowl_provided,rating,description,verified,source,opening_hours
Station 101 Vannes,station_carburant,,101 AVENUE DE LA MARNE,Vannes,France,47.66,-2.792,true,false,true,false,false,,"⛽ Diesel, SP95, E85, GPL, E10, SP98. 🔧 Gonflage  🔵 Gaz  💳 CB 24h/24  💳 DAB. (56000 Vannes)",true,prix_carburants_gouv,Ouvert 24h/24
Station A4 Les Petites-Loges,station_carburant,,A4 - STRASBOURG PARIS,Les Petites-Loges,France,49.118815,4.246563,true,false,true,false,false,,"⛽ Diesel, E85, GPL, E10, SP98. (51400 Les Petites-Loges)",true,prix_carburants_gouv,
Station route Porto-Vecchio,station_carburant,,route de bastia,Porto-Vecchio,France,41.614,9.28,true,false,true,false,false,,"⛽ Diesel, SP95, GPL. 🚻 Toilettes  📦 Relais colis  🛒 Boutique  🛒 Boutique. (20137 Porto-Vecchio)",true,prix_carburants_gouv,"Lun 07.00-19.30, Mar 07.00-19.30, Mer 07.00-19.30"
Station Lieu-dit Tignes,station_carburant,,Lieu-dit Les Chartreux,Tignes,France,45.46061,6.90144,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 💳 DAB. (73320 Tignes)",true,prix_carburants_gouv,
Station 4 Sens,station_carburant,,4 Quai Jean Moulin,Sens,France,48.198,3.277,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 🛒 Boutique  🔧 Gonflage  🚗 Lavage. (89100 Sens)",true,prix_carburants_gouv,"Lun 07.00-21.00, Mar 07.00-21.00, Mer 07.00-21.00"
Station AVENUE Châteaurenard,station_carburant,,AVENUE DELATTRE DE TASSIGNY,Châteaurenard,France,43.879,4.85,true,false,true,false,false,,"⛽ Diesel, E85, E10. 🔧 Gonflage  🔵 Gaz  💳 DAB. (13160 Châteaurenard)",true,prix_carburants_gouv,
Station 390 Avignon,station_carburant,,390 RUE JEAN MARIE TJIBAOU,Avignon,France,43.929473,4.791025,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 📦 Relais colis  💳 CB 24h/24. (84000 Avignon)",true,prix_carburants_gouv,Ouvert 24h/24
Station Avenue Aire-sur-l'Adour,station_carburant,,Avenue de Bordeaux,Aire-sur-l'Adour,France,43.707394,-0.256553,true,false,true,false,false,,"⛽ Diesel, SP95, E10. (40800 Aire-sur-l'Adour)",true,prix_carburants_gouv,
Station Route Avensan,station_carburant,,Route de Bordeaux,Avensan,France,45.023,-0.789,true,false,true,false,false,,"⛽ Diesel, SP95, E85, GPL, E10, SP98. 📦 Relais colis  🔧 Gonflage  🚗 Lavage auto  🚗 Lavage. (33480 Avensan)",true,prix_carburants_gouv,Ouvert 24h/24
Station 31 La Chaize-le-Vicomte,station_carburant,,31 RUE DU MOULIN ROUGE,La Chaize-le-Vicomte,France,46.669,-1.287,true,false,true,false,false,,"⛽ Diesel, SP95, E10, SP98. 📦 Relais colis  🛒 Boutique  🚗 Lavage  🔵 Gaz. (85310 La Chaize-le-Vicomte)",true,prix_carburants_gouv,"Lun 07.30-19.30, Mar 07.30-19.30, Mer 07.30-19.30"
Station ZI Chasse-sur-Rhône,station_carburant,,ZI DE L'ISLON,Chasse-sur-Rhône,France,45.582317,4.792002,true,false,true,false,false,,⛽ Diesel. (38670 Chasse-sur-Rhône),true,prix_carburants_gouv,
Station RD Veigné,station_carburant,,RD 910 Les Gués de Veigné sens Montbazon > Tours,Veigné,France,47.309,0.714,true,false,true,false,false,,⛽ Carburant. 🔧 Gonflage  💳 CB 24h/24. (37250 Veigné),true,prix_carburants_gouv,Ouvert 24h/24
Station AUTOROUTE Le Rove,station_carburant,,AUTOROUTE A55 - AIRE GIGNAC SUD LA NERTHE,Le Rove,France,43.388,5.245,true,false,true,false,false,,"⛽ Diesel, E85, GPL, E10, SP98. 🚻 Toilettes  🛒 Boutique  🛒 Boutique  🍽️ Restauration. (13180 Le Rove)",true,prix_carburants_gouv,
Station 137 Livry-Gargan,station_carburant,,137 Avenue Aristide Briand,Livry-Gargan,France,48.914,2.526,true,false,true,false,false,,"⛽ Diesel, E85, E10, SP98. 🛒 Boutique  🛒 Boutique  🔧 Gonflage  🚗 Lavage auto. (93190 Livry-Gargan)",true,prix_carburants_gouv,"Lun 00.00-23.59, Mar 00.00-23.59, Mer 00.00-23.59"
Station RN313 Bosroumois,station_carburant,,RN313,Bosroumois,France,49.297,0.911,true,false,true,false,false,,"⛽ Diesel, E85, E10, SP98. 📦 Relais colis  🛒 Boutique  🔵 Gaz  💳 CB 24h/24. (27670 Bosroumois)",true,prix_carburants_gouv,Ouvert 24h/24
Station Rue Loctudy,station_carburant,,Rue du Général de Gaulle,Loctudy,France,47.833,-4.185,true,false,true,false,false,,"⛽ Diesel, SP95, SP98. 🔵 Gaz  💳 CB 24h/24  💳 DAB. (29750 Loctudy)",true,prix_carburants_gouv,Ouvert 24h/24
Station place Vallet,station_carburant,,place saint maurice,Vallet,France,47.155,-1.21,true,false,true,false,false,,"⛽ Diesel, SP95, SP98. 📦 Relais colis  🔵 Gaz. (49230 Vallet)",true,prix_carburants_gouv,
Station 23 Arcueil,station_carburant,,23 Avenue Paul Doumer,Arcueil,France,48.807,2.337,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 🛒 Boutique  🛒 Boutique  🔧 Gonflage  🚗 Lavage auto. (94110 Arcueil)",true,prix_carburants_gouv,"Lun 06.00-22.00, Mar 06.00-22.00, Mer 06.00-22.00"
Station 60 La Salle-les-Alpes,station_carburant,,60 rue de la guisane,La Salle-les-Alpes,France,44.948,6.559,true,false,true,false,false,,"⛽ Diesel, E10, SP98. 📦 Relais colis  🛒 Boutique  🔵 Gaz  💳 CB 24h/24. (05240 La Salle-les-Alpes)",true,prix_carburants_gouv,Ouvert 24h/24
Station Aire Saint-Rambert-d'Albon,station_carburant,,Aire de Saint Rambert d'Albon,Saint-Rambert-d'Albon,France,45.277,4.825,true,false,true,false,false,,"⛽ Diesel, GPL, E10, SP98. 🚻 Toilettes  🛒 Boutique  🛒 Boutique  🔧 Gonflage. (26140 Saint-Rambert-d'Albon)",true,prix_carburants_gouv,Ouvert 24h/24
"Station 17, Miniac-Morvan",station_carburant,,"17, Rue de la Livraison",Miniac-Morvan,France,48.511615,-1.895651,true,false,true,false,false,,"⛽ Diesel, SP95, SP98. 📦 Relais colis  🛒 Boutique  🛒 Boutique  🔵 Gaz. (35540 Miniac-Morvan)",true,prix_carburants_gouv,"Lun 00.00-23.59, Mar 00.00-23.59, Mer 00.00-23.59"
Station RN Montgeron,station_carburant,,RN 6,Montgeron,France,48.691,2.454,true,false,true,false,false,,"⛽ Diesel, GPL, E10, SP98. 🛒 Boutique  🛒 Boutique  🔧 Gonflage  🚗 Lavage auto. (91230 Montgeron)",true,prix_carburants_gouv,"Lun 00.00-23.59, Mar 00.00-23.59, Mer 00.00-23.59"
